Year,Recession probability
2014.5,0
2014.583,0
2014.667,0
2014.75,0
2014.833,0
2014.917,0
2015,0
2015.083,0
2015.167,0
2015.25,0
2015.333,0
2015.417,0
2015.5,0
2015.583,0
2015.667,0
2015.75,0
2015.833,0
2015.917,0
2016,0
2016.083,0
2016.167,0
2016.25,0
2016.333,0
2016.417,0
2016.5,0
2016.583,0
2016.667,0
2016.75,0
2016.833,0
2016.917,0
2017,0
2017.083,0
2017.167,0
2017.25,0
2017.333,0
2017.417,0
2017.5,0
2017.583,0
2017.667,0
2017.75,0
2017.833,0
2017.917,0
2018,0
2018.083,0
2018.167,0
2018.25,0
2018.333,0
2018.417,0
2018.5,0
2018.583,0
2018.667,0
2018.75,0
2018.833,0
2018.917,0
2019,0
2019.083,0
2019.167,0
2019.25,0
2019.333,0
2019.417,0
2019.5,0
2019.583,0
2019.667,0
2019.75,0
2019.833,0
2019.917,0
2020,0
2020.083,0
2020.167,0
2020.25,0.06
2020.333,1
2020.417,1
2020.5,1
2020.583,0.58
2020.667,0.26
2020.75,0.12
2020.833,0
2020.917,0
2021,0
2021.083,0
2021.167,0
2021.25,0
2021.333,0
2021.417,0
2021.5,0
2021.583,0
2021.667,0
2021.75,0
2021.833,0
2021.917,0
2022,0
2022.083,0
2022.167,0
2022.25,0
2022.333,0
2022.417,0
2022.5,0
2022.583,0
2022.667,0
2022.75,0
2022.833,0
2022.917,0
2023,0
2023.083,0
2023.167,0
2023.25,0
2023.333,0
2023.417,0
2023.5,0
2023.583,0
2023.667,0
2023.75,0
2023.833,0
2023.917,0
2024,0
2024.083,0
2024.167,0
2024.25,0.08
2024.333,0.1
2024.417,0.2
2024.5,0.38
2024.583,0.48
